id,z_ice_sfc,z_ice_bott,z_ice_bed,x,distance,angle
"0",,,"-799","216",0.000000000000000,77.794285367166637
"1",,,"-801","215",1000.000000000000000,77.794285367166637
"2",,,"-802","214",2000.000000000000000,77.794285367166637
"3",,,"-802","213",3000.000000000000000,77.794285367166637
"4",,,"-801","212",4000.000000000000000,77.794285367166637
"5",,,"-802","211",5000.000000000000000,77.794285367166637
"6",,,"-800","210",6000.000000000000000,77.794285367166637
"7",,,"-798","209",7000.000000000000000,77.794285367166637
"8",,,"-796","208",8000.000000000000000,77.794285367166637
"9",,,"-795","207",9000.000000000000000,77.794285367166637
"10",,,"-792","206",10000.000000000000000,77.794285367166637
"11",,,"-794","205",11000.000000000000000,77.794285367166637
"12",,,"-798","204",12000.000000000000000,77.794285367166637
"13",,,"-802","203",13000.000000000000000,77.794285367166637
"14",,,"-805","202",14000.000000000000000,77.794285367166637
"15",,,"-811","201",15000.000000000000000,77.794285367166637
"16",,,"-819","200",16000.000000000000000,77.794285367166637
"17",,,"-827","199",17000.000000000000000,77.794285367166637
"18",,,"-836","198",18000.000000000000000,77.794285367166637
"19",,,"-843","197",19000.000000000000000,77.794285367166637
"20",,,"-851","196",20000.000000000000000,77.794285367166637
"21",,,"-861","195",21000.000000000000000,77.794285367166637
"22",,,"-871","194",22000.000000000000000,77.794285367166637
"23",,,"-881","193",23000.000000000000000,77.794285367166637
"24",,,"-892","192",24000.000000000000000,77.794285367166637
"25",,,"-901","191",25000.000000000000000,77.794285367166637
"26",,,"-907","190",26000.000000000000000,77.794285367166637
"27",,,"-917","189",27000.000000000000000,77.794285367166637
"28",,,"-927","188",28000.000000000000000,77.794285367166637
"29",,,"-947","187",29000.000000000000000,77.794285367166637
"30",,,"-963","186",30000.000000000000000,77.794285367166637
"31",,,"-978","185",31000.000000000000000,77.794285367166637
"32",,,"-983","184",32000.000000000000000,77.794285367166637
"33",,,"-988","183",33000.000000000000000,77.794285367166637
"34",,,"-1012","182",34000.000000000000000,77.794285367166637
"35",,,"-1020","181",35000.000000000000000,77.794285367166637
"36",,,"-1025","180",36000.000000000000000,77.794285367166637
"37",,,"-1025","179",37000.000000000000000,77.794285367166637
"38",,,"-1053","178",38000.000000000000000,77.794285367166637
"39",,,"-1053","177",39000.000000000000000,77.794285367166637
"40",,,"-1056","176",40000.000000000000000,77.794285367166637
"41",,,"-1060","175",41000.000000000000000,77.794285367166637
"42",,,"-1065","174",42000.000000000000000,77.794285367166637
"43",,,"-1103","173",43000.000000000000000,77.794285367166637
"44",,,"-1099","172",44000.000000000000000,77.794285367166637
"45",,,"-1095","171",45000.000000000000000,77.794285367166637
"46",,,"-1091","170",46000.000000000000000,77.794285367166637
"47",,,"-1085","169",47000.000000000000000,77.794285367166637
"48",,,"-1101","168",48000.000000000000000,77.794285367166637
"49",,,"-1084","167",49000.000000000000000,77.794285367166637
"50",,,"-1063","166",50000.000000000000000,77.794285367166637
"51",,,"-1041","165",51000.000000000000000,77.794285367166637
"52",,,"-1033","164",52000.000000000000000,77.794285367166637
"53",,,"-1012","163",53000.000000000000000,77.794285367166637
"54",,,"-992","162",54000.000000000000000,77.794285367166637
"55",,,"-987","161",55000.000000000000000,77.794285367166637
