,Unnamed: 0,z_ice_sfc,z_ice_bott,z_ice_bed,x,csw,cdw,mw,y_near,y_mid,y_far
84,84,,,-854,6600.0,0.0,-425.0,,-0.1,0.0,0.1
85,85,,,-864,6550.0,0.0,-425.0,,-0.1,0.0,0.1
86,86,,,-881,6500.0,0.0,-425.0,,-0.1,0.0,0.1
87,87,,,-893,6450.0,0.0,-425.0,,-0.1,0.0,0.1
88,88,,,-900,6400.0,0.0,-425.0,,-0.1,0.0,0.1
89,89,,,-906,6350.0,0.0,-425.0,,-0.1,0.0,0.1
90,90,,,-903,6300.0,0.0,-425.0,,-0.1,0.0,0.1
91,91,,,-909,6250.0,0.0,-425.0,,-0.1,0.0,0.1
92,92,,,-915,6200.0,0.0,-425.0,,-0.1,0.0,0.1
93,93,,,-922,6150.0,0.0,-425.0,,-0.1,0.0,0.1
94,94,,,-940,6100.0,0.0,-425.0,,-0.1,0.0,0.1
95,95,,,-943,6050.0,0.0,-425.0,,-0.1,0.0,0.1
96,96,,,-962,6000.0,0.0,-425.0,,-0.1,0.0,0.1
97,97,,,-980,5950.0,0.0,-425.0,,-0.1,0.0,0.1
98,98,,,-1002,5900.0,0.0,-425.0,,-0.1,0.0,0.1
99,99,,,-1032,5850.0,0.0,-425.0,,-0.1,0.0,0.1
100,100,,,-1060,5800.0,0.0,-425.0,,-0.1,0.0,0.1
101,101,,,-1096,5750.0,0.0,-425.0,,-0.1,0.0,0.1
102,102,,,-1131,5700.0,0.0,-425.0,,-0.1,0.0,0.1
103,103,,,-1162,5650.0,0.0,-425.0,,-0.1,0.0,0.1
104,104,,,-1158,5600.0,0.0,-425.0,,-0.1,0.0,0.1
105,105,,,-1150,5550.0,0.0,-425.0,,-0.1,0.0,0.1
106,106,,,-1143,5500.0,0.0,-425.0,,-0.1,0.0,0.1
107,107,,,-1141,5450.0,0.0,-425.0,,-0.1,0.0,0.1
108,108,,,-1146,5400.0,0.0,-425.0,,-0.1,0.0,0.1
109,109,,,-1083,5350.0,0.0,-425.0,,-0.1,0.0,0.1
110,110,,,-1069,5300.0,0.0,-425.0,,-0.1,0.0,0.1
111,111,,,-1054,5250.0,0.0,-425.0,,-0.1,0.0,0.1
112,112,,,-1043,5200.0,0.0,-425.0,,-0.1,0.0,0.1
113,113,,,-1039,5150.0,0.0,-425.0,,-0.1,0.0,0.1
114,114,,,-967,5100.0,0.0,-425.0,,-0.1,0.0,0.1
115,115,,,-977,5050.0,0.0,-425.0,,-0.1,0.0,0.1
116,116,,,-982,5000.0,0.0,-425.0,,-0.1,0.0,0.1
117,117,,,-985,4950.0,0.0,-425.0,,-0.1,0.0,0.1
118,118,,,-989,4900.0,0.0,-425.0,,-0.1,0.0,0.1
119,119,,,-945,4850.0,0.0,-425.0,,-0.1,0.0,0.1
120,120,,,-956,4800.0,0.0,-425.0,-1.0,-0.1,0.0,0.1
121,121,,,-953,4750.0,0.0,-425.0,-2.0,-0.1,0.0,0.1
122,122,,,-945,4700.0,0.0,-425.0,-2.70436507936508,-0.1,0.0,0.1
123,123,,,-931,4650.0,0.0,-425.0,-3.1130952380952404,-0.1,0.0,0.1
124,124,,,-937,4600.0,0.0,-425.0,-3.2261904761904807,-0.1,0.0,0.1
125,125,,,-937,4550.0,0.0,-425.0,-5.273809523809531,-0.1,0.0,0.1
126,126,,,-934,4500.0,0.0,-425.0,-22.63690476190477,-0.1,0.0,0.1
127,127,,,-905,4450.0,0.0,-425.0,-57.54563492063494,-0.1,0.0,0.1
128,128,,,-878,4400.0,0.0,-425.0,-110.0,-0.1,0.0,0.1
129,129,,,-842,4350.0,0.0,-425.0,-180.0,-0.1,0.0,0.1
130,130,42.0,-179.0,-810,4300.0,0.0,-425.0,-199.0,-0.1,0.0,0.1
131,131,43.0,-183.0,-783,4250.0,,-425.0,-203.0,-0.1,0.0,0.1
132,132,44.0,-185.0,-757,4200.0,,-425.0,-205.0,-0.1,0.0,0.1
133,133,44.0,-185.0,-725,4150.0,,-425.0,-205.0,-0.1,0.0,0.1
134,134,44.0,-184.0,-699,4100.0,,-425.0,-204.0,-0.1,0.0,0.1
135,135,45.0,-192.0,-680,4050.0,,-425.0,-212.0,-0.1,0.0,0.1
136,136,47.0,-202.0,-668,4000.0,,-425.0,-222.0,-0.1,0.0,0.1
137,137,48.0,-214.0,-661,3950.0,,-425.0,-234.0,-0.1,0.0,0.1
138,138,48.0,-215.0,-641,3900.0,,-425.0,-235.0,-0.1,0.0,0.1
139,139,49.0,-224.0,-636,3850.0,,-425.0,-244.0,-0.1,0.0,0.1
140,140,50.0,-228.0,-633,3800.0,,-425.0,-248.0,-0.1,0.0,0.1
141,141,50.0,-223.0,-633,3750.0,,-425.0,-243.0,-0.1,0.0,0.1
142,142,48.0,-215.0,-631,3700.0,,-425.0,-243.3,-0.1,0.0,0.1
143,143,49.0,-215.0,-634,3650.0,,-425.0,-243.6,-0.1,0.0,0.1
144,144,49.0,-214.0,-634,3600.0,,-425.0,-243.9,-0.1,0.0,0.1
145,145,48.0,-208.0,-634,3550.0,,-425.0,-244.2,-0.1,0.0,0.1
146,146,48.0,-207.0,-635,3500.0,,-425.0,-244.5,-0.1,0.0,0.1
147,147,47.0,-201.0,-634,3450.0,,-425.0,-244.8,-0.1,0.0,0.1
148,148,48.0,-208.0,-636,3400.0,,-425.0,-245.1,-0.1,0.0,0.1
149,149,50.0,-216.0,-637,3350.0,,-425.0,-245.4,-0.1,0.0,0.1
150,150,51.0,-220.0,-639,3300.0,,-425.0,-245.7,-0.1,0.0,0.1
151,151,52.0,-226.0,-640,3250.0,,-425.0,-246.0,-0.1,0.0,0.1
152,152,53.0,-228.0,-639,3200.0,,-425.0,-248.0,-0.1,0.0,0.1
153,153,54.0,-234.0,-639,3150.0,,-425.0,-254.0,-0.1,0.0,0.1
154,154,54.0,-239.0,-639,3100.0,,-425.0,-259.0,-0.1,0.0,0.1
155,155,55.0,-245.0,-639,3050.0,,-425.0,-265.0,-0.1,0.0,0.1
