,Unnamed: 0,z_ice_sfc,z_ice_bott,z_ice_bed,x
192,192,90.0,-548.0,-653,1200.0
193,193,90.0,-589.0,-674,1150.0
194,194,91.0,-640.0,-706,1100.0
195,195,91.0,-701.0,-739,1050.0
196,196,91.0,-754.0,-767,1000.0
197,197,97.0,-798.0,-798,950.0
198,198,109.0,-820.0,-820,900.0
199,199,118.0,-835.0,-835,850.0
200,200,139.0,-860.0,-860,800.0
201,201,160.0,-870.0,-870,750.0
202,202,179.0,-877.0,-877,700.0
203,203,194.0,-876.0,-876,650.0
204,204,202.0,-831.0,-831,600.0
205,205,194.0,-844.0,-844,550.0
206,206,179.0,-861.0,-861,500.0
207,207,169.0,-874.0,-874,450.0
208,208,169.0,-876.0,-876,400.0
209,209,209.0,-795.0,-795,350.0
210,210,232.0,-774.0,-774,300.0
211,211,260.0,-751.0,-751,250.0
212,212,285.0,-735.0,-735,200.0
213,213,310.0,-728.0,-728,150.0
214,214,310.0,-728.0,-728,100.0
215,215,311.0,-750.0,-750,50.0
216,216,307.0,-785.0,-785,0.0
